Defender Mixed Utility,Expected Utility of Defender Oracle Utility vs Mixed,Expected Utility of Best Defender Pure Strategy,Defender Mixed Strategy,Attacker Mixed Utility,Expected Utility of Attacker Oracle Utility vs Mixed,Expected Utility of Best Attacker Pure Strategy,Attacker Mixed Strategy
4.378039843,17.75453429,4.378039843,"[0.47357427262699114, 0.526425727373009, 0.0]",-4.378039843,-35.85429394,-4.378039843,"[0.4238321692570181, 0.576167830742982, 0.0]"
10.60602218,-0.123760524,10.60602218,"[0.20531541827804112, 0.3290930647449977, 0.0, 0.46559151697696105]",-10.60602218,-10.60602218,-10.60602218,"[0.339971514895241, 0.4621656034155621, 0.0, 0.19786288168919688]"
10.60602218,1.323450086,10.60602218,"[0.20531541827804112, 0.3290930647449977, 0.0, 0.46559151697696105, 0.0]",-10.60602218,-10.60602218,-10.60602218,"[0.339971514895241, 0.4621656034155621, 0.0, 0.19786288168919688, 0.0]"
10.60602218,-0.123760524,10.60602218,"[0.20531541827804112, 0.3290930647449977, 0.0, 0.46559151697696105, 0.0, 0.0]",-10.60602218,-10.60602218,-10.60602218,"[0.339971514895241, 0.4621656034155621, 0.0, 0.19786288168919688, 0.0, 0.0]"
10.60602218,10.60602218,10.60602218,"[0.20531541827804112, 0.3290930647449977, 0.0, 0.46559151697696105, 0.0, 0.0, 0.0]",-10.60602218,-10.60602218,-10.60602218,"[0.339971514895241, 0.0, 0.4621656034155621, 0.19786288168919688, 0.0, 0.0, 0.0]"
10.60602218,1.323450086,10.60602218,"[0.20531541827804117, 0.0, 0.0, 0.46559151697696116, 0.0, 0.0, 0.0, 0.32909306474499767]",-10.60602218,-10.60602218,-10.60602218,"[0.3399715148952411, 0.0, 0.0, 0.1978628816891969, 0.0, 0.0, 0.46216560341556195, 0.0]"
10.60602218,10.60602218,10.60602218,"[0.20531541827804117, 0.0, 0.0, 0.46559151697696116, 0.0, 0.0, 0.0, 0.32909306474499767, 0.0]",-10.60602218,-10.60602218,-10.60602218,"[0.3399715148952411, 0.0, 0.0, 0.1978628816891969, 0.0, 0.0, 0.0, 0.0, 0.46216560341556195]"
10.60602218,0.654599121,10.60602218,"[0.20531541827804112, 0.3290930647449977, 0.0, 0.46559151697696105, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-10.60602218,-10.60602218,-10.60602218,"[0.3399715148952411, 0.0, 0.0, 0.1978628816891969, 0.0, 0.46216560341556195, 0.0, 0.0, 0.0, 0.0]"
10.60602218,0.654599121,10.60602218,"[0.2053154182780411, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3290930647449977, 0.0, 0.46559151697696105, 0.0]",-10.60602218,-10.60602218,-10.60602218,"[0.3399715148952411, 0.0, 0.0, 0.1978628816891969, 0.0, 0.462165603415562, 0.0, 0.0, 0.0, 0.0, 0.0]"
10.60602218,0.545090441,10.60602218,"[0.20531541827804112, 0.3290930647449977, 0.0, 0.46559151697696105, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-10.60602218,-10.60602218,-10.60602218,"[0.3399715148952411, 0.0, 0.0, 0.1978628816891969, 0.0, 0.0, 0.0, 0.46216560341556195, 0.0, 0.0, 0.0, 0.0]"
10.60602218,1.323450086,10.60602218,"[0.20531541827804112, 0.3290930647449977, 0.0, 0.46559151697696105, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-10.60602218,-10.60602218,-10.60602218,"[0.3399715148952411, 0.0, 0.0, 0.1978628816891969, 0.0, 0.0, 0.0, 0.46216560341556195, 0.0, 0.0, 0.0, 0.0, 0.0]"
10.60602218,10.60602218,10.60602218,"[0.2053154182780411, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3290930647449977, 0.0, 0.46559151697696105, 0.0, 0.0, 0.0, 0.0]",-10.60602218,-10.60602218,-10.60602218,"[0.3399715148952411, 0.0, 0.0, 0.1978628816891969, 0.0, 0.0, 0.0, 0.462165603415562, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
10.60602218,1.323450086,10.60602218,"[0.0, 0.32909306474499767, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4655915169769611, 0.0, 0.0, 0.0, 0.0, 0.20531541827804117]",-10.60602218,-10.60602218,-10.60602218,"[0.3399715148952411, 0.0, 0.0, 0.1978628816891969, 0.0, 0.0, 0.0, 0.462165603415562, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
10.60602218,10.60602218,10.60602218,"[0.20531541827804112, 0.3290930647449977, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.46559151697696105, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-10.60602218,-10.60602218,-10.60602218,"[0.3399715148952411, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4621656034155621, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1978628816891969, 0.0]"
10.60602218,10.60602218,10.60602218,"[0.20531541827804112, 0.3290930647449977, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.46559151697696105, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-10.60602218,-10.60602218,-10.60602218,"[0.3399715148952411, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4621656034155621, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1978628816891969, 0.0, 0.0]"
10.60602218,-9.406332621,10.60602218,"[0.20531541827804112, 0.3290930647449977, 0.0, 0.46559151697696105, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-10.60602218,-10.60602218,-10.60602218,"[0.3399715148952411, 0.0, 0.0, 0.1978628816891969, 0.0, 0.0, 0.0, 0.462165603415562, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
10.60602218,0.654599121,10.60602218,"[0.20531541827804117, 0.0, 0.0, 0.46559151697696116, 0.0, 0.0, 0.0, 0.32909306474499767, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-10.60602218,-10.60602218,-10.60602218,"[0.3399715148952411, 0.0, 0.0, 0.1978628816891969, 0.0, 0.0, 0.0, 0.462165603415562, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
10.60602218,10.60602218,10.60602218,"[0.0, 0.32909306474499767, 0.0, 0.4655915169769611, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.20531541827804117, 0.0, 0.0, 0.0]",-10.60602218,-10.60602218,-10.60602218,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.462165603415562, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1978628816891969, 0.0, 0.0, 0.3399715148952411]"
10.60602218,-9.406332621,10.60602218,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.32909306474499767, 0.0, 0.4655915169769611, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.20531541827804117, 0.0, 0.0, 0.0, 0.0]",-10.60602218,-10.60602218,-10.60602218,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.462165603415562, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1978628816891969, 0.0, 0.0, 0.3399715148952411, 0.0]"
10.60602218,-0.123760524,10.60602218,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.32909306474499767, 0.0, 0.4655915169769611, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.20531541827804117, 0.0, 0.0, 0.0, 0.0]",-10.60602218,-10.60602218,-10.60602218,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.462165603415562, 0.0, 0.0, 0.1978628816891969, 0.0, 0.0, 0.0, 0.0, 0.3399715148952411, 0.0, 0.0]"
