Defender Mixed Utility,Expected Utility of Defender Oracle vs Attacker Mixed,Expected Utility of Best Defender Pure Strategy,Defender Mixed Strategy,Attacker Mixed Utility,Expected Utility of Attacker Oracle vs Defender Mixed,Expected Utility of Best Attacker Pure Strategy,Attacker Mixed Strategy
-22.39493137045143,-22.152331801417766,-22.394931370451424,"[0.6174898150520759, 0.38251018494792416, 0.0, 0.0]",22.394931370451438,22.39493137045143,22.39493137045143,"[0.4101553931099627, 0.5898446068900374, 0.0, 0.0]"
-22.321857236393612,5.750261764490992,-22.32185723639361,"[0.6190306650163859, 0.07975637591329852, 0.0, 0.0, 0.3012129590703155]",22.321857236393623,-2.419607621292057,22.321857236393612,"[0.4080679282987015, 0.5883930636526069, 0.00353900804869166, 0.0, 0.0]"
-4.25455353951838,-4.25455353951838,-4.25455353951838,"[0.35150685370387014, 0.0, 0.0, 0.0, 0.0, 0.6484931462961299]",4.25455353951838,9.860989958537745,4.2545535395183816,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
-6.239776490602376,-6.239776490602377,-6.239776490602374,"[0.3806151492634772, 0.041860649500206404, 0.0, 0.0, 0.0, 0.5775242012363163, 0.0]",6.239776490602375,6.239776490602376,6.239776490602376,"[0.2649205524631481, 0.3809823343778957, 0.0, 0.0, 0.0, 0.0, 0.35409711315895614]"
-6.239776490602376,-6.239776490602375,-6.239776490602374,"[0.3806151492634772, 0.041860649500206404, 0.0, 0.0, 0.0, 0.5775242012363163, 0.0, 0.0]",6.239776490602375,6.23977649060237,6.239776490602376,"[0.2649205524631481, 0.3809823343778957, 0.0, 0.0, 0.0, 0.0, 0.35409711315895614, 0.0]"
-6.239776490602376,-18.657736857250452,-6.239776490602374,"[0.3806151492634772, 0.041860649500206404, 0.0, 0.0, 0.0, 0.5775242012363163, 0.0, 0.0, 0.0]",6.239776490602375,6.239776490602376,6.239776490602376,"[0.2649205524631481, 0.3809823343778957, 0.0, 0.0, 0.0, 0.0, 0.35409711315895614, 0.0, 0.0]"
-6.239776490602376,-6.239776490602377,-6.239776490602374,"[0.3806151492634772, 0.041860649500206404, 0.0, 0.0, 0.0, 0.5775242012363163, 0.0, 0.0, 0.0, 0.0]",6.239776490602375,6.239776490602376,6.239776490602376,"[0.2649205524631481, 0.3809823343778957, 0.0, 0.0, 0.0, 0.0, 0.0, 0.35409711315895614, 0.0, 0.0]"
-6.239776490602376,-6.239776490602374,-6.239776490602374,"[0.3806151492634772, 0.041860649500206404, 0.0, 0.0, 0.0, 0.5775242012363163, 0.0, 0.0, 0.0, 0.0, 0.0]",6.239776490602375,6.23977649060237,6.239776490602376,"[0.2649205524631481, 0.3809823343778957, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.35409711315895614]"
-6.239776490602376,-28.01645309595569,-6.239776490602374,"[0.3806151492634772, 0.041860649500206404, 0.0, 0.0, 0.0, 0.5775242012363163, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",6.239776490602375,6.23977649060237,6.239776490602376,"[0.2649205524631481, 0.3809823343778957, 0.0, 0.0, 0.0, 0.0, 0.35409711315895614, 0.0, 0.0, 0.0, 0.0, 0.0]"
-6.239776490602376,-28.01645309595569,-6.239776490602374,"[0.3806151492634772, 0.041860649500206404, 0.0, 0.0, 0.0, 0.5775242012363163, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",6.239776490602375,6.239776490602376,6.239776490602376,"[0.2649205524631481, 0.3809823343778957, 0.0, 0.0, 0.0, 0.0, 0.35409711315895614, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
-6.239776490602376,-18.657736857250452,-6.239776490602374,"[0.3806151492634772, 0.041860649500206404, 0.0, 0.0, 0.0, 0.5775242012363163, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",6.239776490602375,6.23977649060237,6.239776490602376,"[0.2649205524631481, 0.3809823343778957, 0.0, 0.0, 0.0, 0.0, 0.0, 0.35409711315895614, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
-6.239776490602376,-18.657736857250452,-6.239776490602374,"[0.3806151492634772, 0.041860649500206404, 0.0, 0.0, 0.0, 0.5775242012363163, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",6.239776490602375,6.239776490602376,6.239776490602376,"[0.2649205524631481, 0.3809823343778957, 0.0, 0.0, 0.0, 0.0, 0.0, 0.35409711315895614, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
-6.239776490602376,-0.5898166698002678,-6.239776490602374,"[0.3806151492634772, 0.041860649500206404, 0.0, 0.0, 0.0, 0.5775242012363163, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",6.239776490602375,6.23977649060237,6.239776490602376,"[0.2649205524631481, 0.3809823343778957, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.35409711315895614, 0.0, 0.0, 0.0, 0.0, 0.0]"
-6.239776490602377,-6.2397764906023765,-6.239776490602372,"[0.38061514926347717, 0.04186064950020643, 0.0, 0.0, 0.0, 0.5775242012363163, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",6.239776490602376,6.239776490602377,6.239776490602377,"[0.09099412668491812, 0.25012365060733216, 0.0, 0.0, 0.1308586837705636, 0.0, 0.0, 0.0, 0.17392642577823, 0.0, 0.3540971131589561, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
-6.239776490602377,-0.5219841181530294,-6.239776490602373,"[0.38061514926347717, 0.04186064950020643, 0.0, 0.0, 0.0, 0.5775242012363163, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",6.239776490602374,6.239776490602367,6.239776490602377,"[0.09099412668491816, 0.25012365060733216, 0.0, 0.0, 0.13085868377056348, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3540971131589562, 0.17392642577823, 0.0, 0.0, 0.0]"
-6.239776490602377,-6.23977649060237,-6.23977649060237,"[0.38061514926347717, 0.04186064950020643, 0.0, 0.0, 0.0, 0.5775242012363163, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",6.239776490602372,6.239776490602377,6.239776490602377,"[0.06237212737350978, 0.24819447658629118, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1327878577916045, 0.0, 0.0, 0.0, 0.3540971131589561, 0.11935802303797498, 0.0, 0.0, 0.0, 0.08319040205166342]"
