Defender Mixed Utility,Expected Utility of Defender Oracle vs Attacker Mixed,Expected Utility of Best Defender Pure Strategy,Defender Mixed Strategy,Attacker Mixed Utility,Expected Utility of Attacker Oracle vs Defender Mixed,Expected Utility of Best Attacker Pure Strategy,Attacker Mixed Strategy
-4.25455354,-27.11441649,-4.25455354,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",4.25455354,27.79674132,4.25455354,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
-15.59512463,8.984422861,-5.763305631,"[0.0, 0.0, 0.23912864352709837, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7608713564729016, 0.0, 0.0]",15.59512463,15.59512463,15.59512463,"[0.518287289427713, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.48171271057228704]"
-4.25455354,-27.11441649,-4.25455354,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5386175806257153, 0.0, 0.0, 0.4613824193742847]",4.25455354,4.25455354,4.25455354,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
-4.25455354,-20.2564576,-4.25455354,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5386175806257153, 0.0, 0.0, 0.4613824193742847, 0.0]",4.25455354,4.25455354,4.25455354,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
-4.25455354,-3.402135683,-4.25455354,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5386175806257153, 0.0, 0.0, 0.4613824193742847, 0.0, 0.0]",4.25455354,4.25455354,4.25455354,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
-4.25455354,-16.09537242,4.889391639,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5386175806257153, 0.0, 0.0, 0.4613824193742847, 0.0, 0.0, 0.0]",4.25455354,4.25455354,4.25455354,"[0.9640516294503314, 0.0, 0.035948370549668596, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
-4.25455354,10.83749001,0.31741905,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08643451572654104, 0.0, 0.0, 0.913565484273459, 0.0, 0.0, 0.0, 0.0]",4.25455354,42.58767033,4.25455354,"[0.9640516294503314, 0.0, 0.035948370549668596, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
-4.914439609,-7.137600108,-1.215543907,"[0.0684884018343563, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.23481784263422362, 0.0, 0.06539888884773348, 0.0, 0.6312948666836866]",4.914439609,9.213355093,7.429168723,"[0.38897935742737105, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12899482784746302, 0.0, 0.0, 0.0, 0.2570870538994605, 0.0, 0.0, 0.0, 0.0, 0.0, 0.22493876082570535]"
-5.014096803,-6.196962735,-1.364662738,"[0.12083191616986606, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21601186046121004, 0.0, 0.05804280035895987, 0.0, 0.5602866128180006, 0.044826810191963135]",5.014096803,5.014096803,5.014096803,"[0.42516352942342145, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08080301022161845, 0.0, 0.0, 0.0, 0.27268115204952514, 0.0, 0.0, 0.0, 0.0, 0.0, 0.19817036995570209, 0.023181938349732895]"
-5.014096803,-9.234671145,0.268451928,"[0.12083191616986608, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21601186046121001, 0.0, 0.05804280035895992, 0.0, 0.5602866128180007, 0.04482681019196308, 0.0]",5.014096803,7.97574954,7.216220292,"[0.42516352942342145, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08080301022161845, 0.0, 0.0, 0.0, 0.27268115204952514, 0.0, 0.0, 0.0, 0.0, 0.0, 0.19817036995570209, 0.023181938349732895, 0.0]"
