Rewards,[44.75014742 17.26701046 41.24022703  3.04313466]
Penalties,[ 6.27517732 30.15755115 26.96105075 21.521564  ]
defenderID,attackerID,Value(Defender payoff)
0,0,-4.254553539518381
1,0,-4.254553539518381
2,0,-51.67911514538183
3,0,-51.67911514538183
4,0,-4.254553539518381
5,0,-4.254553539518381
6,0,-18.481922021277416
7,0,-8.997009700104728
8,0,-4.254553539518381
9,0,-51.67911514538183
0,1,-4.254553539518381
1,1,-4.254553539518381
2,1,-51.67911514538183
3,1,-51.67911514538183
4,1,-4.254553539518381
5,1,-4.254553539518381
6,1,-13.73946586069107
7,1,-4.254553539518381
8,1,-4.254553539518381
9,1,-51.67911514538183
0,2,-4.254553539518381
1,2,-4.254553539518381
2,2,-51.67911514538183
3,2,-51.67911514538183
4,2,-4.254553539518381
5,2,-8.997009700104728
6,2,-27.966834342450106
7,2,-4.254553539518381
8,2,-4.254553539518381
9,2,-51.67911514538183
0,3,53.764781329005096
1,3,52.23105838668046
2,3,4.8064967808170085
3,3,-1.469682322093974
4,3,19.21831684767389
5,3,49.02232516841875
6,3,26.985054641424096
7,3,28.660064917361165
8,3,47.48860222609411
9,3,4.806496780817007
0,4,-4.254553539518381
1,4,-8.997009700104726
2,4,-51.67911514538183
3,4,-51.67911514538183
4,4,-4.254553539518381
5,4,-8.997009700104726
6,4,-23.224378181863763
7,4,-13.739465860691073
8,4,-4.254553539518381
9,4,-51.67911514538183
0,5,-4.254553539518381
1,5,-4.254553539518381
2,5,-51.67911514538183
3,5,-51.67911514538183
4,5,-4.254553539518381
5,5,-4.254553539518381
6,5,-27.966834342450106
7,5,-8.997009700104725
8,5,-4.254553539518381
9,5,-51.67911514538183
0,6,-4.254553539518381
1,6,-4.254553539518381
2,6,-51.67911514538183
3,6,-51.67911514538183
4,6,-4.254553539518381
5,6,-4.254553539518381
6,6,-13.739465860691073
7,6,-8.997009700104726
8,6,-4.254553539518381
9,6,-51.67911514538183
0,7,-4.254553539518381
1,7,-4.254553539518381
2,7,-51.67911514538183
3,7,-51.67911514538183
4,7,-4.254553539518381
5,7,-8.997009700104726
6,7,-23.224378181863763
7,7,-4.254553539518381
8,7,-4.254553539518381
9,7,-51.67911514538183
0,8,-4.254553539518381
1,8,-4.254553539518381
2,8,-51.67911514538183
3,8,-51.67911514538183
4,8,-4.254553539518381
5,8,-4.254553539518381
6,8,-27.966834342450106
7,8,-4.254553539518381
8,8,-4.254553539518381
9,8,-51.67911514538183
0,9,-8.997009700104726
1,9,-8.997009700104725
2,9,-51.67911514538183
3,9,-51.67911514538183
4,9,-4.254553539518381
5,9,-4.254553539518381
6,9,-18.481922021277416
7,9,-6.540539834123396
8,9,-4.254553539518381
9,9,-51.67911514538183
10,0,-27.114416485568533
10,1,-27.114416485568533
10,2,-27.114416485568533
10,3,-46.37530865137059
10,4,-27.114416485568533
10,5,-27.114416485568533
10,6,-27.114416485568533
10,7,-27.114416485568533
10,8,-27.114416485568533
10,9,-27.114416485568533
0,10,-27.796741316138487
1,10,-27.796741316138487
2,10,23.228583421088018
3,10,23.228583421088018
4,10,-27.796741316138487
5,10,-27.796741316138487
6,10,-12.489143894970539
7,10,-27.796741316138487
8,10,-27.796741316138487
9,10,23.228583421088018
10,10,-3.232042656325184
11,0,-4.254553539518381
11,1,-4.254553539518381
11,2,-4.254553539518381
11,3,-9.150091612873357
11,4,-4.254553539518381
11,5,-4.254553539518381
11,6,-4.254553539518381
11,7,-4.254553539518381
11,8,-4.254553539518381
11,9,-4.254553539518381
11,10,23.228583421088018
0,11,-27.796741316138487
1,11,-27.796741316138487
2,11,23.228583421088018
3,11,23.228583421088018
4,11,-27.796741316138487
5,11,-27.796741316138487
6,11,-12.489143894970539
7,11,-22.694208842415836
8,11,-27.796741316138487
9,11,23.228583421088018
10,11,-3.232042656325184
11,11,23.228583421088018
12,0,-27.114416485568533
12,1,-27.114416485568533
12,2,-27.114416485568533
12,3,3.443257409868687
12,4,-27.114416485568533
12,5,-27.114416485568533
12,6,-27.114416485568533
12,7,-27.114416485568533
12,8,-27.114416485568533
12,9,-27.114416485568533
12,10,-3.232042656325184
12,11,-3.232042656325184
0,12,-27.796741316138487
1,12,-27.796741316138487
2,12,23.228583421088018
3,12,23.228583421088018
4,12,-27.796741316138487
5,12,-27.796741316138487
6,12,-7.3866114212478875
7,12,-22.694208842415836
8,12,-27.796741316138487
9,12,23.228583421088018
10,12,-3.232042656325184
11,12,23.228583421088018
12,12,-3.232042656325184
13,0,-22.542443896358503
13,1,-6.540539834123396
13,2,-4.254553539518381
13,3,-54.118183352755466
13,4,-4.254553539518381
13,5,-4.254553539518381
13,6,-24.82843019096352
13,7,-4.254553539518381
13,8,-4.254553539518381
13,9,-6.540539834123395
13,10,-27.79674131613849
13,11,-27.79674131613849
13,12,-27.79674131613849
0,13,-27.796741316138487
1,13,-27.796741316138487
2,13,23.228583421088018
3,13,23.228583421088018
4,13,-27.796741316138487
5,13,-27.796741316138487
6,13,-2.284078947525237
7,13,-22.694208842415836
8,13,-27.796741316138487
9,13,23.228583421088018
10,13,-3.232042656325184
11,13,23.228583421088018
12,13,-3.232042656325184
13,13,-27.79674131613849
14,0,-3.402135682636799
14,1,-17.629504164395836
14,2,-27.114416485568533
14,3,-11.436077907478369
14,4,-27.114416485568533
14,5,-27.114416485568533
14,6,20.310145120294923
14,7,-27.114416485568533
14,8,-27.114416485568533
14,9,-22.371960324982183
14,10,-3.232042656325184
14,11,-3.232042656325184
14,12,-3.232042656325184
14,13,-3.232042656325184
0,14,-27.796741316138487
1,14,-27.796741316138487
2,14,23.228583421088018
3,14,23.228583421088018
4,14,-27.796741316138487
5,14,-17.59167636869319
6,14,-12.489143894970537
