Rewards,[44.75014742 17.26701046 41.24022703  3.04313466  6.27517732 30.15755115]
Penalties,[26.96105075 21.521564   17.43498461 31.50345218 22.46892988 37.05822321]
defenderID,attackerID,Value(Defender payoff)
0,0,-34.150653939913845
1,0,-23.81483091083748
2,0,-23.81483091083748
3,0,-20.332019204655573
4,0,-34.150653939913845
5,0,-23.81483091083748
6,0,-23.81483091083748
7,0,-23.81483091083748
8,0,-91.03060526802905
9,0,-91.03060526802905
10,0,-23.81483091083748
11,0,-34.150653939913845
12,0,-91.03060526802905
13,0,-28.982742425375665
14,0,-28.98274242537566
15,0,-74.4801185542288
16,0,-20.36017222702291
17,0,-89.47693934684807
18,0,-39.31856545445203
19,0,-30.695995256099273
0,1,-75.49394605621931
1,1,-75.49394605621931
2,1,-75.49394605621931
3,1,-61.67531132096104
4,1,-70.32603454168114
5,1,-75.49394605621931
6,1,-75.49394605621931
7,1,-70.32603454168114
8,1,-75.49394605621931
9,1,-75.49394605621931
10,1,-75.49394605621931
11,1,-75.49394605621931
12,1,-75.49394605621931
13,1,-65.15812302714295
14,1,-75.49394605621931
15,1,-75.49394605621931
16,1,-75.49394605621931
17,1,-75.49394605621931
18,1,-75.49394605621931
19,1,-63.416717174051996
0,2,-13.066287971765757
1,2,43.40424638886144
2,2,3.167536597047962
3,2,-26.415366843699662
4,2,-5.895168154984519
5,2,15.618191295359182
6,2,-5.445956068173176
7,2,-26.864578930511005
8,2,-43.88251457023396
9,2,-30.53376599255078
10,2,-13.964712145388443
11,2,29.960430928921646
12,2,-57.231593442167856
13,2,-27.21905442931647
14,2,-26.864578930511005
15,2,-43.977251158239824
16,2,-27.76300310413369
17,2,-37.25534342826994
18,2,23.238523198951754
19,2,-26.060891344894195
0,3,-49.65438848352839
1,3,-59.990211512604766
2,3,-39.31856545445203
3,3,-46.17157677734649
4,3,-59.990211512604766
5,3,-59.990211512604766
6,3,-49.65438848352839
7,3,-59.990211512604766
8,3,-81.70860974094322
9,3,-75.49394605621931
10,3,-70.32603454168114
11,3,-65.15812302714295
12,3,-78.60127789858127
13,3,-59.990211512604766
14,3,-56.535552828790195
15,3,-83.26227566212418
16,3,-59.990211512604766
17,3,-83.26227566212418
18,3,-49.65438848352839
19,3,-53.08089414497563
0,4,-54.82229999806658
1,4,-65.15812302714295
2,4,-65.15812302714295
3,4,-58.24880565951381
4,4,-65.15812302714295
5,4,-65.15812302714295
6,4,-65.15812302714295
7,4,-54.82229999806658
8,4,-80.15494381976224
9,4,-77.0476119774003
10,4,-59.990211512604766
11,4,-75.49394605621931
12,4,-77.0476119774003
13,4,-70.32603454168114
14,4,-72.03928737240474
15,4,-77.0476119774003
16,4,-59.990211512604766
17,4,-77.0476119774003
18,4,-70.32603454168114
19,4,-68.58462868859019
0,5,-23.81483091083748
1,5,-23.814830910837482
2,5,-23.62535773482573
3,5,-9.901459587573335
4,5,-23.814830910837482
5,5,-23.81483091083748
6,5,-23.720094322831606
7,5,-23.814830910837482
8,5,-90.8411320920173
9,5,-91.03060526802905
10,5,-23.720094322831606
11,5,-30.53640834655664
12,5,-90.93586868002318
13,5,-23.720094322831606
14,5,-23.814830910837482
15,5,-91.03060526802905
16,5,-23.720094322831606
17,5,-91.03060526802905
18,5,-23.814830910837482
19,5,-23.814830910837482
0,6,-75.49394605621931
1,6,-75.49394605621931
2,6,-75.49394605621931
3,6,-65.12997000477561
4,6,-75.49394605621931
5,6,-75.49394605621931
6,6,-75.49394605621931
7,6,-75.49394605621931
8,6,-75.49394605621931
9,6,-75.49394605621931
10,6,-75.49394605621931
11,6,-75.49394605621931
12,6,-75.49394605621931
13,6,-75.49394605621931
14,6,-72.03928737240474
15,6,-75.49394605621931
16,6,-75.49394605621931
17,6,-75.49394605621931
18,6,-75.49394605621931
19,6,-65.12997000477561
0,7,-34.150653939913845
1,7,-39.31856545445203
2,7,-39.31856545445203
3,7,-23.786677888470145
4,7,-39.31856545445203
5,7,-34.15065393991385
6,7,-28.982742425375665
7,7,-34.150653939913845
8,7,-86.36960750448613
9,7,-81.20169598994795
10,7,-28.982742425375665
11,7,-44.48647696899021
12,7,-87.92327342566709
13,7,-44.48647696899021
14,7,-41.031818285175646
15,7,-84.3090278323099
16,7,-25.528083741561097
17,7,-84.81594158330515
18,7,-23.81483091083748
19,7,-30.695995256099273
0,8,-44.48647696899021
1,8,-54.82229999806658
2,8,-54.82229999806658
3,8,-47.91298263043744
4,8,-39.31856545445203
5,8,-44.48647696899021
6,8,-49.65438848352839
7,8,-49.65438848352839
8,8,-81.70860974094322
9,8,-84.81594158330515
10,8,-44.48647696899021
11,8,-49.65438848352839
12,8,-84.81594158330515
13,8,-54.82229999806658
14,8,-51.36764131425201
15,8,-84.81594158330515
16,8,-49.65438848352839
17,8,-84.81594158330515
18,8,-49.65438848352839
19,8,-56.535552828790195
0,9,-23.814830910837482
1,9,-23.814830910837482
2,9,-23.814830910837482
3,9,-9.996196175579215
4,9,-23.814830910837482
5,9,-23.81483091083748
6,9,-23.814830910837482
7,9,-23.814830910837482
8,9,-91.03060526802905
9,9,-77.58745039659074
10,9,-23.81483091083748
11,9,-23.814830910837482
12,9,-91.03060526802905
13,9,-23.81483091083748
14,9,-20.360172227022915
15,9,-77.58745039659074
16,9,-23.814830910837482
17,9,-91.03060526802905
18,9,-23.81483091083748
19,9,-20.360172227022915
0,10,-23.720094322831606
1,10,-23.814830910837482
2,10,-23.720094322831606
3,10,0.3677798758644865
4,10,-23.720094322831606
5,10,-24.264042997648822
6,10,-22.260834695405777
7,10,-23.720094322831606
8,10,-91.03060526802905
9,10,-91.03060526802905
10,10,-23.814830910837482
11,10,-43.979563217994965
12,10,-90.93586868002318
13,10,-23.81483091083748
14,10,-23.720094322831606
15,10,-84.3090278323099
16,10,-20.360172227022918
17,10,-91.03060526802905
18,10,-23.81483091083748
19,10,-16.90551354320835
0,11,-23.720094322831603
1,11,-23.720094322831606
2,11,-33.96118076390209
3,11,-6.446800903758769
4,11,-23.625357734825727
5,11,-23.720094322831606
6,11,-28.982742425375665
7,11,-23.720094322831606
8,11,-90.93586868002318
9,11,-90.93586868002318
10,11,-23.814830910837482
11,11,-30.536408346556634
12,11,-91.03060526802905
13,11,-34.055917351907965
14,11,-28.982742425375665
15,11,-89.3822027588422
16,11,-28.888005837369786
17,11,-91.03060526802905
18,11,-23.720094322831606
19,11,-21.97868846974065
0,12,-23.81483091083748
1,12,-23.81483091083748
2,12,-28.98274242537566
3,12,-9.996196175579211
4,12,-23.81483091083748
5,12,-23.81483091083748
6,12,-30.536408346556634
7,12,-23.81483091083748
8,12,-91.03060526802905
9,12,-82.75536191112892
10,12,-23.81483091083748
11,12,-23.81483091083748
12,12,-91.03060526802905
13,12,-23.81483091083748
14,12,-23.81483091083748
15,12,-89.47693934684807
16,12,-23.81483091083748
17,12,-91.03060526802905
18,12,-28.982742425375665
19,12,-18.618766373931958
0,13,-70.32603454168114
1,13,-54.82229999806658
2,13,-54.82229999806658
3,13,-59.962058490237425
4,13,-59.990211512604766
5,13,-44.48647696899021
6,13,-59.990211512604766
7,13,-54.82229999806658
8,13,-77.0476119774003
9,13,-78.60127789858126
10,13,-59.990211512604766
11,13,-61.54387743378574
12,13,-80.15494381976222
13,13,-65.15812302714295
14,13,-59.990211512604766
15,13,-76.54069822640503
16,13,-66.87137585786657
17,13,-78.60127789858126
18,13,-65.15812302714295
19,13,-51.36764131425201
0,14,-49.65438848352839
1,14,-49.65438848352839
2,14,-49.65438848352839
3,14,-42.74507111589926
4,14,-49.65438848352839
5,14,-44.48647696899021
6,14,-49.65438848352839
7,14,-59.990211512604766
8,14,-80.15494381976224
9,14,-81.7086097409432
10,14,-49.65438848352839
11,14,-51.208054404709365
12,14,-80.15494381976222
13,14,-34.150653939913845
14,14,-51.36764131425201
15,14,-74.98703230522406
16,14,-59.990211512604766
17,14,-84.81594158330515
18,14,-49.65438848352839
19,14,-37.577159601361075
0,15,-21.711527670133147
1,15,-23.246411382802215
2,15,-13.386799635504124
3,15,-34.05591735190797
4,15,-21.976624931388137
5,15,-9.583411160385896
6,15,-9.992069098874191
7,15,-23.435884558813974
8,15,-71.02640094116069
9,15,-67.66314394200229
10,15,-23.53062114681985
11,15,-28.888005837369786
12,15,-77.58678980808926
13,15,-16.998186592861707
14,15,-16.21264584070242
15,15,-47.40268416408675
16,15,-26.73587850743803
17,15,-84.11922436204742
18,15,-22.07136151939402
19,15,-27.42874620994396
0,16,-24.074569821637073
1,16,-23.814830910837482
2,16,-17.092923180867594
3,16,-17.354725630019693
4,16,-23.62535773482573
5,16,-23.720094322831606
6,16,-23.720094322831606
7,16,-24.264042997648826
