defender rewards,defender penalties
[44.75014742 17.26701046 41.24022703  3.04313466],[ 6.27517732 30.15755115 26.96105075 21.521564  ]
iteration,action list,network estimate list,action chosen,opponent action
1,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322, -0.06188282370567322, -0.06188282370567322]","[1, 0, 0, 0]","[0, 1, 1, 0]"
2,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322, -0.06188282370567322]","[0, 1, 0, 0]","[0, 1, 1, 0]"
3,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322]","[0, 0, 1, 0]","[0, 0, 1, 0]"
4,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322, -0.06188282370567322, -0.06188282370567322]","[1, 0, 0, 0]","[0, 1, 1, 0]"
5,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322, -0.06188282370567322]","[0, 1, 0, 0]","[0, 1, 1, 0]"
6,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322]","[0, 0, 1, 0]","[0, 0, 1, 0]"
7,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322, -0.06188282370567322, -0.06188282370567322]","[1, 0, 0, 0]","[0, 1, 1, 0]"
8,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322, -0.06188282370567322]","[0, 1, 0, 0]","[0, 1, 1, 0]"
9,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322]","[0, 0, 1, 0]","[0, 0, 1, 0]"
10,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322, -0.06188282370567322, -0.06188282370567322]","[1, 0, 0, 0]","[0, 1, 1, 0]"
