iteration,action list,network estimate list,action chosen
1,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.17614085972309113, 0.1737082302570343, 0.17391228675842285, 0.17468176782131195]","[1, 0, 0, 0]"
2,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.1803673505783081, 0.1803673505783081, 0.1803673505783081]","[0, 1, 0, 0]"
3,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[0.17397518455982208, 0.173271045088768]","[0, 0, 1, 0]"
4,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.17614085972309113, 0.1737082302570343, 0.17391228675842285, 0.17468176782131195]","[1, 0, 0, 0]"
5,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.1803673505783081, 0.1803673505783081, 0.1803673505783081]","[0, 1, 0, 0]"
6,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[0.17397518455982208, 0.173271045088768]","[0, 0, 1, 0]"
7,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.17614085972309113, 0.1737082302570343, 0.17391228675842285, 0.17468176782131195]","[1, 0, 0, 0]"
8,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.1803673505783081, 0.1803673505783081, 0.1803673505783081]","[0, 1, 0, 0]"
9,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[0.17397518455982208, 0.173271045088768]","[0, 0, 1, 0]"
10,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.17614085972309113, 0.1737082302570343, 0.17391228675842285, 0.17468176782131195]","[1, 0, 0, 0]"
11,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.1803673505783081, 0.1803673505783081, 0.1803673505783081]","[0, 1, 0, 0]"
12,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[0.17397518455982208, 0.173271045088768]","[0, 0, 1, 0]"
13,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.17614085972309113, 0.1737082302570343, 0.17391228675842285, 0.17468176782131195]","[1, 0, 0, 0]"
14,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.1803673505783081, 0.1803673505783081, 0.1803673505783081]","[0, 1, 0, 0]"
15,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[0.17397518455982208, 0.173271045088768]","[0, 0, 1, 0]"
16,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.17614085972309113, 0.1737082302570343, 0.17391228675842285, 0.17468176782131195]","[1, 0, 0, 0]"
17,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.1803673505783081, 0.1803673505783081, 0.1803673505783081]","[0, 1, 0, 0]"
18,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[0.17397518455982208, 0.173271045088768]","[0, 0, 1, 0]"
19,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.17614085972309113, 0.1737082302570343, 0.17391228675842285, 0.17468176782131195]","[1, 0, 0, 0]"
20,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.1803673505783081, 0.1803673505783081, 0.1803673505783081]","[0, 1, 0, 0]"
21,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[0.17397518455982208, 0.173271045088768]","[0, 0, 1, 0]"
22,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.17614085972309113, 0.1737082302570343, 0.17391228675842285, 0.17468176782131195]","[1, 0, 0, 0]"
23,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.1803673505783081, 0.1803673505783081, 0.1803673505783081]","[0, 1, 0, 0]"
24,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[0.17397518455982208, 0.173271045088768]","[0, 0, 1, 0]"
25,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.17614085972309113, 0.1737082302570343, 0.17391228675842285, 0.17468176782131195]","[1, 0, 0, 0]"
26,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.1803673505783081, 0.1803673505783081, 0.1803673505783081]","[0, 1, 0, 0]"
27,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[0.17397518455982208, 0.173271045088768]","[0, 0, 1, 0]"
28,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.17614085972309113, 0.1737082302570343, 0.17391228675842285, 0.17468176782131195]","[1, 0, 0, 0]"
29,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.1803673505783081, 0.1803673505783081, 0.1803673505783081]","[0, 1, 0, 0]"
