iteration,action list,network estimate list,action chosen
1,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322, -0.06188282370567322, -0.06188282370567322]","[1, 0, 0, 0]"
2,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322, -0.06188282370567322]","[0, 1, 0, 0]"
3,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322]","[0, 0, 1, 0]"
4,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322, -0.06188282370567322, -0.06188282370567322]","[1, 0, 0, 0]"
5,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322, -0.06188282370567322]","[0, 1, 0, 0]"
6,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322]","[0, 0, 1, 0]"
7,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322, -0.06188282370567322, -0.06188282370567322]","[1, 0, 0, 0]"
8,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322, -0.06188282370567322]","[0, 1, 0, 0]"
9,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322]","[0, 0, 1, 0]"
10,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322, -0.06188282370567322, -0.06188282370567322]","[1, 0, 0, 0]"
11,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322, -0.06188282370567322]","[0, 1, 0, 0]"
12,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322]","[0, 0, 1, 0]"
13,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322, -0.06188282370567322, -0.06188282370567322]","[1, 0, 0, 0]"
14,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322, -0.06188282370567322]","[0, 1, 0, 0]"
15,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322]","[0, 0, 1, 0]"
16,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322, -0.06188282370567322, -0.06188282370567322]","[1, 0, 0, 0]"
