defender rewards,defender penalties
[44.75014742 17.26701046 41.24022703  3.04313466],[ 6.27517732 30.15755115 26.96105075 21.521564  ]
iteration,action list,network estimate list,action chosen,opponent action
1,"[[1, 1, 0, 0], [1, 0, 1, 0], [1, 0, 0, 1], [0, 1, 1, 0], [0, 1, 0, 1], [0, 0, 1, 1]]","[-0.7471254467964172, -0.7372952699661255, -0.7321264743804932, -0.7435780763626099, -0.7403389811515808, -0.7285662889480591]","[0, 0, 1, 1]","[0, 0, 0, 1]"
2,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.7464578747749329, -0.7538509964942932, -0.7431279420852661, -0.7407913208007812]","[0, 0, 0, 1]","[0, 1, 0, 0]"
3,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.7371424436569214, -0.7448283433914185, -0.7338383793830872, -0.7317187786102295]","[0, 0, 0, 1]","[0, 0, 1, 0]"
4,"[[1, 1, 0, 0], [1, 0, 1, 0], [1, 0, 0, 1], [0, 1, 1, 0], [0, 1, 0, 1], [0, 0, 1, 1]]","[-0.7471254467964172, -0.7372952699661255, -0.7321264743804932, -0.7435780763626099, -0.7403389811515808, -0.7285662889480591]","[0, 0, 1, 1]","[0, 0, 0, 1]"
5,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.7464578747749329, -0.7538509964942932, -0.7431279420852661, -0.7407913208007812]","[0, 0, 0, 1]","[0, 1, 0, 0]"
6,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.7371424436569214, -0.7448283433914185, -0.7338383793830872, -0.7317187786102295]","[0, 0, 0, 1]","[0, 0, 1, 0]"
7,"[[1, 1, 0, 0], [1, 0, 1, 0], [1, 0, 0, 1], [0, 1, 1, 0], [0, 1, 0, 1], [0, 0, 1, 1]]","[-0.7471254467964172, -0.7372952699661255, -0.7321264743804932, -0.7435780763626099, -0.7403389811515808, -0.7285662889480591]","[0, 0, 1, 1]","[0, 0, 0, 1]"
8,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.7464578747749329, -0.7538509964942932, -0.7431279420852661, -0.7407913208007812]","[0, 0, 0, 1]","[0, 1, 0, 0]"
9,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.7371424436569214, -0.7448283433914185, -0.7338383793830872, -0.7317187786102295]","[0, 0, 0, 1]","[0, 0, 1, 0]"
10,"[[1, 1, 0, 0], [1, 0, 1, 0], [1, 0, 0, 1], [0, 1, 1, 0], [0, 1, 0, 1], [0, 0, 1, 1]]","[-0.7471254467964172, -0.7372952699661255, -0.7321264743804932, -0.7435780763626099, -0.7403389811515808, -0.7285662889480591]","[0, 0, 1, 1]","[0, 0, 0, 1]"
11,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.7464578747749329, -0.7538509964942932, -0.7431279420852661, -0.7407913208007812]","[0, 0, 0, 1]","[0, 1, 0, 0]"
12,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.7371424436569214, -0.7448283433914185, -0.7338383793830872, -0.7317187786102295]","[0, 0, 0, 1]","[0, 0, 1, 0]"
13,"[[1, 1, 0, 0], [1, 0, 1, 0], [1, 0, 0, 1], [0, 1, 1, 0], [0, 1, 0, 1], [0, 0, 1, 1]]","[-0.7471254467964172, -0.7372952699661255, -0.7321264743804932, -0.7435780763626099, -0.7403389811515808, -0.7285662889480591]","[0, 0, 1, 1]","[0, 0, 0, 1]"
14,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.7464578747749329, -0.7538509964942932, -0.7431279420852661, -0.7407913208007812]","[0, 0, 0, 1]","[0, 1, 0, 0]"
15,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.7371424436569214, -0.7448283433914185, -0.7338383793830872, -0.7317187786102295]","[0, 0, 0, 1]","[0, 0, 1, 0]"
16,"[[1, 1, 0, 0], [1, 0, 1, 0], [1, 0, 0, 1], [0, 1, 1, 0], [0, 1, 0, 1], [0, 0, 1, 1]]","[-0.7471254467964172, -0.7372952699661255, -0.7321264743804932, -0.7435780763626099, -0.7403389811515808, -0.7285662889480591]","[0, 0, 1, 1]","[0, 0, 0, 1]"
17,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.7464578747749329, -0.7538509964942932, -0.7431279420852661, -0.7407913208007812]","[0, 0, 0, 1]","[0, 1, 0, 0]"
18,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.7371424436569214, -0.7448283433914185, -0.7338383793830872, -0.7317187786102295]","[0, 0, 0, 1]","[0, 0, 1, 0]"
19,"[[1, 1, 0, 0], [1, 0, 1, 0], [1, 0, 0, 1], [0, 1, 1, 0], [0, 1, 0, 1], [0, 0, 1, 1]]","[-0.7471254467964172, -0.7372952699661255, -0.7321264743804932, -0.7435780763626099, -0.7403389811515808, -0.7285662889480591]","[0, 0, 1, 1]","[0, 0, 0, 1]"
20,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.7464578747749329, -0.7538509964942932, -0.7431279420852661, -0.7407913208007812]","[0, 0, 0, 1]","[0, 1, 0, 0]"
21,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.7371424436569214, -0.7448283433914185, -0.7338383793830872, -0.7317187786102295]","[0, 0, 0, 1]","[0, 0, 1, 0]"
22,"[[1, 1, 0, 0], [1, 0, 1, 0], [1, 0, 0, 1], [0, 1, 1, 0], [0, 1, 0, 1], [0, 0, 1, 1]]","[-0.7471254467964172, -0.7372952699661255, -0.7321264743804932, -0.7435780763626099, -0.7403389811515808, -0.7285662889480591]","[0, 0, 1, 1]","[0, 0, 0, 1]"
23,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.7464578747749329, -0.7538509964942932, -0.7431279420852661, -0.7407913208007812]","[0, 0, 0, 1]","[0, 1, 0, 0]"
24,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.7371424436569214, -0.7448283433914185, -0.7338383793830872, -0.7317187786102295]","[0, 0, 0, 1]","[0, 0, 1, 0]"
25,"[[1, 1, 0, 0], [1, 0, 1, 0], [1, 0, 0, 1], [0, 1, 1, 0], [0, 1, 0, 1], [0, 0, 1, 1]]","[-0.7471254467964172, -0.7372952699661255, -0.7321264743804932, -0.7435780763626099, -0.7403389811515808, -0.7285662889480591]","[0, 0, 1, 1]","[0, 0, 0, 1]"
26,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.7464578747749329, -0.7538509964942932, -0.7431279420852661, -0.7407913208007812]","[0, 0, 0, 1]","[0, 1, 0, 0]"
27,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.7371424436569214, -0.7448283433914185, -0.7338383793830872, -0.7317187786102295]","[0, 0, 0, 1]","[0, 0, 1, 0]"
