iteration,action list,network estimate list,action chosen
1,"[[1, 1, 0, 0], [1, 0, 1, 0], [1, 0, 0, 1], [0, 1, 1, 0], [0, 1, 0, 1], [0, 0, 1, 1]]","[-0.2952551245689392, -0.2962073087692261, -0.2916094958782196, -0.2970724403858185, -0.29381823539733887, -0.29356855154037476]","[1, 0, 0, 1]"
2,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.2686443626880646, -0.2696695923805237, -0.2710747718811035, -0.26741573214530945]","[0, 0, 0, 1]"
3,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.2699034512042999, -0.27091413736343384, -0.2722087800502777, -0.2685320973396301]","[0, 0, 0, 1]"
4,"[[1, 1, 0, 0], [1, 0, 1, 0], [1, 0, 0, 1], [0, 1, 1, 0], [0, 1, 0, 1], [0, 0, 1, 1]]","[-0.2952551245689392, -0.2962073087692261, -0.2916094958782196, -0.2970724403858185, -0.29381823539733887, -0.29356855154037476]","[1, 0, 0, 1]"
5,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.2686443626880646, -0.2696695923805237, -0.2710747718811035, -0.26741573214530945]","[0, 0, 0, 1]"
6,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.2699034512042999, -0.27091413736343384, -0.2722087800502777, -0.2685320973396301]","[0, 0, 0, 1]"
7,"[[1, 1, 0, 0], [1, 0, 1, 0], [1, 0, 0, 1], [0, 1, 1, 0], [0, 1, 0, 1], [0, 0, 1, 1]]","[-0.2952551245689392, -0.2962073087692261, -0.2916094958782196, -0.2970724403858185, -0.29381823539733887, -0.29356855154037476]","[1, 0, 0, 1]"
8,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.2686443626880646, -0.2696695923805237, -0.2710747718811035, -0.26741573214530945]","[0, 0, 0, 1]"
9,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.2699034512042999, -0.27091413736343384, -0.2722087800502777, -0.2685320973396301]","[0, 0, 0, 1]"
10,"[[1, 1, 0, 0], [1, 0, 1, 0], [1, 0, 0, 1], [0, 1, 1, 0], [0, 1, 0, 1], [0, 0, 1, 1]]","[-0.2952551245689392, -0.2962073087692261, -0.2916094958782196, -0.2970724403858185, -0.29381823539733887, -0.29356855154037476]","[1, 0, 0, 1]"
11,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.2686443626880646, -0.2696695923805237, -0.2710747718811035, -0.26741573214530945]","[0, 0, 0, 1]"
12,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.2699034512042999, -0.27091413736343384, -0.2722087800502777, -0.2685320973396301]","[0, 0, 0, 1]"
13,"[[1, 1, 0, 0], [1, 0, 1, 0], [1, 0, 0, 1], [0, 1, 1, 0], [0, 1, 0, 1], [0, 0, 1, 1]]","[-0.2952551245689392, -0.2962073087692261, -0.2916094958782196, -0.2970724403858185, -0.29381823539733887, -0.29356855154037476]","[1, 0, 0, 1]"
14,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.2686443626880646, -0.2696695923805237, -0.2710747718811035, -0.26741573214530945]","[0, 0, 0, 1]"
15,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.2699034512042999, -0.27091413736343384, -0.2722087800502777, -0.2685320973396301]","[0, 0, 0, 1]"
