Defender Mixed Utility,Attacker Mixed Utility,Defender Oracle Utility (Avg. Over Training),Attacker Oracle Utility (Avg. over training),Avg. Defender Oracle Utility vs Mixed,Defender Oracle Correctness vs perfect play,Avg Score of Best Defender Pure Strategy,Avg. Attacker Oracle Utility vs Mixed,Attacker Oracle Correctness vs perfect play,Avg Score of Best Attacker Pure Strategy,,,,Attacker Oracle Correctness vs perfect play,Defender Utility during attacker Oracle,,,,100
-30.08080793,30.08080793,-0.174911104,92.79811855,-7.252566148,0.853333333,-24.81774945,83.51830669,100,59.93087137,,,,1,-83.51830669,,,,
-38.93392266,38.93392266,3.198168909,92.79808203,-17.81125118,0.493333333,-7.260029888,46.97780764,27,60.12304391,,,,0.27,-46.97780764,,,,
-38.05732791,38.05732791,5.368567815,49.57168944,-24.85146333,0.496666667,-25.26849266,57.69145859,48.6666667,55.73231684,,,,0.486666667,-57.69145859,,,,
-40.52858044,40.52858044,-2.406490367,49.94151362,-7.616337768,0.613333333,-35.68197184,47.20671915,16,55.53339801,,,,0.16,-47.20671915,,,,
-35.68714191,35.68714191,-15.48244207,8.510973562,-40.4845413,0.276666667,-32.2095474,30.90020098,4.6666667,53.71008286,,,,0.046666667,-30.90020098,,,,
-35.68714191,35.68714191,-22.17762615,27.38178398,-42.00576664,0.303333333,-31.82438367,30.59875884,6.6666667,55.0106631,,,,0.066666667,-30.59875884,,,,
-35.68714191,35.68714191,-18.9866227,37.80301366,-39.24241183,0.44,-34.02828061,29.13872486,4.6666667,54.22896724,,,,0.046666667,-29.13872486,,,,
-35.68714191,35.68714191,-9.783679203,44.94533438,-39.69958871,0.41,-30.71384455,32.14858508,8.3333333,53.59460477,,,,0.083333333,-32.14858508,,,,
-35.68714191,35.68714191,-11.66316737,16.38775386,-43.87717121,0.23,-32.81361334,29.63094476,3.6666667,55.62658421,,,,0.036666667,-29.63094476,,,,
-35.68714191,35.68714191,-13.05832784,20.22796565,-17.84600299,0.516666667,-29.17933056,28.97473153,7,56.67055846,,,,0.07,-28.97473153,,,,
-33.08882873,33.08882873,-7.488139049,15.39747607,-30.91560102,0.323333333,-24.07515727,32.50911578,11.3333333,44.77767103,,,,0.113333333,-32.50911578,,,,
-32.75756969,32.75756969,-7.122500605,56.61497066,-29.33939504,0.403333333,-22.07610835,36.22663195,19.3333333,47.02160029,,,,0.193333333,-36.22663195,,,,
-32.87640683,32.87640683,-1.73438721,45.67704061,-25.45778848,0.373333333,-25.39167689,31.81538821,12,51.11136643,,,,0.12,-31.81538821,,,,
-31.54273148,31.54273148,-9.451564977,24.81109058,-35.01972298,0.173333333,-30.40893738,34.8158348,5.3333333,41.77632826,,,,0.053333333,-34.8158348,,,,
-31.54273148,31.54273148,-6.67772173,33.23797608,-41.39468331,0.093333333,-30.02291495,29.33851185,9.6666667,40.05841794,,,,0.096666667,-29.33851185,,,,
-31.54273148,31.54273148,-14.94207908,15.87459686,-33.19037615,0.24,-29.5703065,32.53021951,2.6666667,37.03380945,,,,0.026666667,-32.53021951,,,,
-31.47253164,31.47253164,-15.34268636,3.016631865,-34.99871893,0.21,-30.50244419,32.94754305,11.6666667,37.13749722,,,,0.116666667,-32.94754305,,,,
-31.47253164,31.47253164,-20.39907501,22.08475947,-32.38391689,0.266666667,-32.16672902,31.04661115,0,39.60217292,,,,0,-31.04661115,,,,
-31.47253164,31.47253164,-14.97096302,6.665507847,-17.28255208,0.433333333,-27.77913786,30.24460421,0,40.22796401,,,,0,-30.24460421,,,,
-29.14759958,29.14759958,-9.822032491,-15.37352737,-34.75044327,0.48,-25.57425121,19.93455744,15.6666667,33.79554457,,,,0.156666667,-19.93455744,,,,
